External intercostals,Internal intercostals,Scalene muscles ,Diaphragm
0.999955769,0.904088167,0.999893849,1.042732828
0.999808258,0.904203149,0.999927442,1.043799346
0.999557314,0.904365302,0.999954691,1.044822639
0.999203185,0.904574464,0.999975571,1.045801698
0.99874622,0.90483043,0.99999006,1.046735556
0.99818687,0.905132946,0.999998145,1.047623292
0.997525687,0.905481714,0.999999816,1.04846403
0.996763324,0.90587639,0.999995073,1.049256939
0.995900532,0.906316585,0.99998392,1.050001238
0.994938164,0.906801864,0.999966368,1.050696191
0.993877169,0.907331747,0.999942435,1.051341114
0.992718594,0.907905713,0.999912144,1.051935369
0.991463582,0.908523195,0.999875524,1.05247837
0.990113373,0.909183583,0.999832613,1.052969581
0.988669298,0.909886226,0.999783453,1.053408518
0.987132783,0.91063043,0.999728091,1.053794746
0.985505344,0.91141546,0.999666583,1.054127886
0.983788587,0.912240543,0.999598989,1.054407609
0.981984207,0.913104864,0.999525376,1.054633637
0.980093984,0.914007569,0.999445817,1.054805749
0.978119783,0.914947768,0.999360391,1.054923774
0.976063553,0.915924533,0.99926918,1.054987596
0.973927323,0.916936901,0.999172277,1.054997152
0.971713201,0.917983871,0.999069775,1.054952432
0.969423373,0.919064412,0.998961777,1.054853481
0.967060097,0.920177455,0.998848388,1.054700396
0.964625708,0.921321904,0.998729721,1.054493328
0.962122606,0.922496628,0.998605894,1.054232482
0.959553262,0.923700469,0.998477027,1.053918115
0.956920211,0.924932238,0.998343249,1.053550538
0.954226053,0.926190719,0.998204691,1.053130112
0.951473446,0.927474671,0.998061489,1.052657254
0.948665107,0.928782827,0.997913787,1.052132429
0.945803807,0.930113895,0.997761728,1.051556156
0.942892369,0.931466562,0.997605464,1.050929003
0.939933667,0.932839493,0.997445148,1.050251589
0.936930622,0.934231334,0.997280938,1.049524583
0.933886195,0.935640709,0.997112998,1.048748703
0.930803393,0.93706623,0.996941492,1.047924713
0.927685257,0.938506488,0.996766589,1.047053427
0.924534865,0.939960063,0.996588463,1.046135705
0.921355326,0.941425519,0.996407288,1.045172453
0.918149777,0.942901412,0.996223245,1.044164621
0.914921381,0.944386283,0.996036514,1.043113204
0.911673326,0.945878669,0.99584728,1.04201924
0.908408817,0.947377095,0.995655729,1.040883807
0.905131074,0.948880084,0.995462051,1.039708027
0.901843333,0.950386152,0.995266437,1.03849306
0.898548839,0.951893812,0.995069079,1.037240106
0.895250843,0.953401577,0.994870173,1.035950399
0.891952599,0.954907959,0.994669914,1.034625214
0.888657362,0.956411471,0.994468501,1.033265858
0.885368385,0.95791063,0.994266133,1.031873673
0.882088913,0.959403955,0.994063008,1.030450032
0.878822182,0.960889974,0.993859327,1.02899634
0.875571418,0.962367219,0.993655292,1.027514033
0.872339827,0.963834233,0.993451104,1.026004573
0.869130598,0.965289569,0.993246964,1.024469449
0.8659469,0.966731789,0.993043074,1.022910177
0.862791874,0.96815947,0.992839634,1.021328296
0.859668633,0.969571204,0.992636847,1.019725366
0.85658026,0.970965598,0.992434911,1.018102969
0.853529803,0.972341274,0.992234026,1.016462707
0.850520271,0.973696876,0.992034391,1.014806198
0.847554636,0.975031066,0.991836202,1.013135077
0.844635824,0.976342528,0.991639655,1.011450994
0.841766715,0.977629966,0.991444944,1.00975561
0.838950141,0.97889211,0.991252261,1.008050598
0.836188881,0.980127715,0.991061796,1.006337641
0.833485661,0.981335562,0.990873737,1.00461843
0.830843148,0.982514457,0.990688271,1.002894661
0.82826395,0.983663239,0.990505579,1.001168035
0.825750612,0.984780773,0.990325842,0.999440257
0.823305615,0.985865956,0.990149238,0.99771303
0.820931372,0.986917718,0.98997594,0.995988061
0.818630226,0.98793502,0.989806121,0.994267052
0.816404448,0.988916858,0.989639946,0.992551699
0.814256234,0.989862264,0.989477582,0.990843698
0.812187704,0.990770305,0.989319186,0.989144733
0.8102009,0.991640084,0.989164917,0.98745648
0.808297782,0.992470743,0.989014926,0.985780606
0.806480229,0.993261462,0.988869361,0.984118766
0.804750034,0.994011461,0.988728366,0.982472598
0.803108906,0.99472,0.988592081,0.980843727
0.801558462,0.99538638,0.988460638,0.979233762
0.800100234,0.996009942,0.988334169,0.97764429
0.798735661,0.996590072,0.988212798,0.976076881
0.797466089,0.997126196,0.988096645,0.974533081
0.796292771,0.997617787,0.987985824,0.973014413
0.795216865,0.998064359,0.987880445,0.971522377
0.794239434,0.99846547,0.987780612,0.970058445
0.79336144,0.998820726,0.987686423,0.968624062
0.792583752,0.999129775,0.987597972,0.967220643
0.791907136,0.999392313,0.987515345,0.965849574
0.791332261,0.99960808,0.987438624,0.964512206
0.790859693,0.999776864,0.987367885,0.963209861
0.790489898,0.999898498,0.987303198,0.961943824
0.790223243,0.999972862,0.987244626,0.960715343
0.79005999,0.999999883,0.987192228,0.959525631
0.7900003,0.999979533,0.987146054,0.958375863
0.790044231,0.999911833,0.987106151,0.957267172
0.790191742,0.999796851,0.987072558,0.956200654
0.790442686,0.999634698,0.987045309,0.955177361
0.790796815,0.999425536,0.987024429,0.954198302
0.79125378,0.99916957,0.98700994,0.953264444
0.79181313,0.998867054,0.987001855,0.952376708
0.792474313,0.998518286,0.987000184,0.95153597
0.793236676,0.99812361,0.987004927,0.950743061
0.794099468,0.997683415,0.98701608,0.949998762
0.795061836,0.997198136,0.987033632,0.949303809
0.796122831,0.996668253,0.987057565,0.948658886
0.797281406,0.996094287,0.987087856,0.948064631
0.798536418,0.995476805,0.987124476,0.94752163
0.799886627,0.994816417,0.987167387,0.947030419
0.801330702,0.994113774,0.987216547,0.946591482
0.802867217,0.99336957,0.987271909,0.946205254
0.804494656,0.99258454,0.987333417,0.945872114
0.806211413,0.991759457,0.987401011,0.945592391
0.808015793,0.990895136,0.987474624,0.945366363
0.809906016,0.989992431,0.987554183,0.945194251
0.811880217,0.989052232,0.987639609,0.945076226
0.813936447,0.988075467,0.98773082,0.945012404
0.816072677,0.987063099,0.987827723,0.945002848
0.818286799,0.986016129,0.987930225,0.945047568
0.820576627,0.984935588,0.988038223,0.945146519
0.822939903,0.983822545,0.988151612,0.945299604
0.825374292,0.982678096,0.988270279,0.945506672
0.827877394,0.981503372,0.988394106,0.945767518
0.830446738,0.980299531,0.988522973,0.946081885
0.833079789,0.979067762,0.988656751,0.946449462
0.835773947,0.977809281,0.988795309,0.946869888
0.838526554,0.976525329,0.988938511,0.947342746
0.841334893,0.975217173,0.989086213,0.947867571
0.844196193,0.973886105,0.989238272,0.948443844
0.847107631,0.972533438,0.989394536,0.949070997
0.850066333,0.971160507,0.989554852,0.949748411
0.853069378,0.969768666,0.989719062,0.950475417
0.856113805,0.968359291,0.989887002,0.951251297
0.859196607,0.96693377,0.990058508,0.952075287
0.862314743,0.965493512,0.990233411,0.952946573
0.865465135,0.964039937,0.990411537,0.953864295
0.868644674,0.962574481,0.990592712,0.954827547
0.871850223,0.961098588,0.990776755,0.955835379
0.875078619,0.959613717,0.990963486,0.956886796
0.878326674,0.958121331,0.99115272,0.95798076
0.881591183,0.956622905,0.991344271,0.959116193
0.884868926,0.955119916,0.991537949,0.960291973
0.888156667,0.953613848,0.991733563,0.96150694
0.891451161,0.952106188,0.991930921,0.962759894
0.894749157,0.950598423,0.992129827,0.964049601
0.898047401,0.949092041,0.992330086,0.965374786
0.901342638,0.947588529,0.992531499,0.966734142
0.904631615,0.94608937,0.992733867,0.968126327
0.907911087,0.944596045,0.992936992,0.969549968
0.911177818,0.943110026,0.993140673,0.97100366
0.914428582,0.941632781,0.993344708,0.972485967
0.917660173,0.940165767,0.993548896,0.973995427
0.920869402,0.938710431,0.993753036,0.975530551
0.9240531,0.937268211,0.993956926,0.977089823
0.927208126,0.93584053,0.994160366,0.978671704
0.930331367,0.934428796,0.994363153,0.980274634
0.93341974,0.933034402,0.994565089,0.981897031
0.936470197,0.931658726,0.994765974,0.983537293
0.939479729,0.930303124,0.994965609,0.985193802
0.942445364,0.928968934,0.995163798,0.986864923
0.945364176,0.927657472,0.995360345,0.988549006
0.948233285,0.926370034,0.995555056,0.99024439
0.951049859,0.92510789,0.995747739,0.991949402
0.953811119,0.923872285,0.995938204,0.993662359
0.956514339,0.922664438,0.996126263,0.99538157
0.959156852,0.921485543,0.996311729,0.997105339
0.96173605,0.920336761,0.996494421,0.998831965
0.964249388,0.919219227,0.996674158,1.000559743
0.966694385,0.918134044,0.996850762,1.00228697
0.969068628,0.917082282,0.99702406,1.004011939
0.971369774,0.91606498,0.997193879,1.005732948
0.973595552,0.915083142,0.997360054,1.007448301
0.975743766,0.914137736,0.997522418,1.009156302
0.977812296,0.913229695,0.997680814,1.010855267
0.9797991,0.912359916,0.997835083,1.01254352
0.981702218,0.911529257,0.997985074,1.014219394
0.983519771,0.910738538,0.998130639,1.015881234
0.985249966,0.909988539,0.998271634,1.017527402
0.986891094,0.90928,0.998407919,1.019156273
0.988441538,0.90861362,0.998539362,1.020766238
0.989899766,0.907990058,0.998665831,1.02235571
0.991264339,0.907409928,0.998787202,1.023923119
0.992533911,0.906873804,0.998903355,1.025466919
0.993707229,0.906382213,0.999014176,1.026985587
0.994783135,0.905935641,0.999119555,1.028477623
0.995760566,0.90553453,0.999219388,1.029941555
0.99663856,0.905179274,0.999313577,1.031375938
0.997416248,0.904870225,0.999402028,1.032779357
0.998092864,0.904607687,0.999484655,1.034150426
0.998667739,0.90439192,0.999561376,1.035487794
0.999140307,0.904223136,0.999632115,1.036790139
0.999510102,0.904101502,0.999696802,1.038056176
0.999776757,0.904027138,0.999755374,1.039284657
0.99994001,0.904000117,0.999807772,1.040474369
0.9999997,0.904020467,0.999853946,1.041624137
0.999955769,0.904088167,0.999893849,1.042732828
0.999808258,0.904203149,0.999927442,1.043799346
0.999557314,0.904365302,0.999954691,1.044822639
0.999203185,0.904574464,0.999975571,1.045801698
0.99874622,0.90483043,0.99999006,1.046735556
0.99818687,0.905132946,0.999998145,1.047623292
0.997525687,0.905481714,0.999999816,1.04846403
0.996763324,0.90587639,0.999995073,1.049256939
0.995900532,0.906316585,0.99998392,1.050001238
0.994938164,0.906801864,0.999966368,1.050696191
0.993877169,0.907331747,0.999942435,1.051341114
0.992718594,0.907905713,0.999912144,1.051935369
0.991463582,0.908523195,0.999875524,1.05247837
0.990113373,0.909183583,0.999832613,1.052969581
0.988669298,0.909886226,0.999783453,1.053408518
0.987132783,0.91063043,0.999728091,1.053794746
0.985505344,0.91141546,0.999666583,1.054127886
0.983788587,0.912240543,0.999598989,1.054407609
0.981984207,0.913104864,0.999525376,1.054633637
0.980093984,0.914007569,0.999445817,1.054805749
0.978119783,0.914947768,0.999360391,1.054923774
0.976063553,0.915924533,0.99926918,1.054987596
0.973927323,0.916936901,0.999172277,1.054997152
0.971713201,0.917983871,0.999069775,1.054952432
0.969423373,0.919064412,0.998961777,1.054853481
0.967060097,0.920177455,0.998848388,1.054700396
0.964625708,0.921321904,0.998729721,1.054493328
0.962122606,0.922496628,0.998605894,1.054232482
0.959553262,0.923700469,0.998477027,1.053918115
0.956920211,0.924932238,0.998343249,1.053550538
0.954226053,0.926190719,0.998204691,1.053130112
0.951473446,0.927474671,0.998061489,1.052657254
0.948665107,0.928782827,0.997913787,1.052132429
0.945803807,0.930113895,0.997761728,1.051556156
0.942892369,0.931466562,0.997605464,1.050929003
0.939933667,0.932839493,0.997445148,1.050251589
0.936930622,0.934231334,0.997280938,1.049524583
0.933886195,0.935640709,0.997112998,1.048748703
0.930803393,0.93706623,0.996941492,1.047924713
0.927685257,0.938506488,0.996766589,1.047053427
0.924534865,0.939960063,0.996588463,1.046135705
0.921355326,0.941425519,0.996407288,1.045172453
0.918149777,0.942901412,0.996223245,1.044164621
0.914921381,0.944386283,0.996036514,1.043113204
0.911673326,0.945878669,0.99584728,1.04201924
0.908408817,0.947377095,0.995655729,1.040883807
0.905131074,0.948880084,0.995462051,1.039708027
0.901843333,0.950386152,0.995266437,1.03849306
0.898548839,0.951893812,0.995069079,1.037240106
0.895250843,0.953401577,0.994870173,1.035950399
0.891952599,0.954907959,0.994669914,1.034625214
0.888657362,0.956411471,0.994468501,1.033265858
0.885368385,0.95791063,0.994266133,1.031873673
0.882088913,0.959403955,0.994063008,1.030450032
0.878822182,0.960889974,0.993859327,1.02899634
0.875571418,0.962367219,0.993655292,1.027514033
0.872339827,0.963834233,0.993451104,1.026004573
0.869130598,0.965289569,0.993246964,1.024469449
0.8659469,0.966731789,0.993043074,1.022910177
0.862791874,0.96815947,0.992839634,1.021328296
0.859668633,0.969571204,0.992636847,1.019725366
0.85658026,0.970965598,0.992434911,1.018102969
0.853529803,0.972341274,0.992234026,1.016462707
0.850520271,0.973696876,0.992034391,1.014806198
0.847554636,0.975031066,0.991836202,1.013135077
0.844635824,0.976342528,0.991639655,1.011450994
0.841766715,0.977629966,0.991444944,1.00975561
0.838950141,0.97889211,0.991252261,1.008050598
0.836188881,0.980127715,0.991061796,1.006337641
0.833485661,0.981335562,0.990873737,1.00461843
0.830843148,0.982514457,0.990688271,1.002894661
0.82826395,0.983663239,0.990505579,1.001168035
0.825750612,0.984780773,0.990325842,0.999440257
0.823305615,0.985865956,0.990149238,0.99771303
0.820931372,0.986917718,0.98997594,0.995988061
0.818630226,0.98793502,0.989806121,0.994267052
0.816404448,0.988916858,0.989639946,0.992551699
0.814256234,0.989862264,0.989477582,0.990843698
0.812187704,0.990770305,0.989319186,0.989144733
0.8102009,0.991640084,0.989164917,0.98745648
0.808297782,0.992470743,0.989014926,0.985780606
0.806480229,0.993261462,0.988869361,0.984118766
0.804750034,0.994011461,0.988728366,0.982472598
0.803108906,0.99472,0.988592081,0.980843727
0.801558462,0.99538638,0.988460638,0.979233762
0.800100234,0.996009942,0.988334169,0.97764429
0.798735661,0.996590072,0.988212798,0.976076881
0.797466089,0.997126196,0.988096645,0.974533081
0.796292771,0.997617787,0.987985824,0.973014413
0.795216865,0.998064359,0.987880445,0.971522377
0.794239434,0.99846547,0.987780612,0.970058445
0.79336144,0.998820726,0.987686423,0.968624062
0.792583752,0.999129775,0.987597972,0.967220643
0.791907136,0.999392313,0.987515345,0.965849574
0.791332261,0.99960808,0.987438624,0.964512206
0.790859693,0.999776864,0.987367885,0.963209861
0.790489898,0.999898498,0.987303198,0.961943824
0.790223243,0.999972862,0.987244626,0.960715343
0.79005999,0.999999883,0.987192228,0.959525631
0.7900003,0.999979533,0.987146054,0.958375863
0.790044231,0.999911833,0.987106151,0.957267172
0.790191742,0.999796851,0.987072558,0.956200654
0.790442686,0.999634698,0.987045309,0.955177361
0.790796815,0.999425536,0.987024429,0.954198302
0.79125378,0.99916957,0.98700994,0.953264444
0.79181313,0.998867054,0.987001855,0.952376708
0.792474313,0.998518286,0.987000184,0.95153597
0.793236676,0.99812361,0.987004927,0.950743061
0.794099468,0.997683415,0.98701608,0.949998762
0.795061836,0.997198136,0.987033632,0.949303809
0.796122831,0.996668253,0.987057565,0.948658886
0.797281406,0.996094287,0.987087856,0.948064631
0.798536418,0.995476805,0.987124476,0.94752163
0.799886627,0.994816417,0.987167387,0.947030419
0.801330702,0.994113774,0.987216547,0.946591482
0.802867217,0.99336957,0.987271909,0.946205254
0.804494656,0.99258454,0.987333417,0.945872114
0.806211413,0.991759457,0.987401011,0.945592391
0.808015793,0.990895136,0.987474624,0.945366363
0.809906016,0.989992431,0.987554183,0.945194251
0.811880217,0.989052232,0.987639609,0.945076226
0.813936447,0.988075467,0.98773082,0.945012404
0.816072677,0.987063099,0.987827723,0.945002848
0.818286799,0.986016129,0.987930225,0.945047568
0.820576627,0.984935588,0.988038223,0.945146519
0.822939903,0.983822545,0.988151612,0.945299604
0.825374292,0.982678096,0.988270279,0.945506672
0.827877394,0.981503372,0.988394106,0.945767518
0.830446738,0.980299531,0.988522973,0.946081885
0.833079789,0.979067762,0.988656751,0.946449462
0.835773947,0.977809281,0.988795309,0.946869888
0.838526554,0.976525329,0.988938511,0.947342746
0.841334893,0.975217173,0.989086213,0.947867571
0.844196193,0.973886105,0.989238272,0.948443844
0.847107631,0.972533438,0.989394536,0.949070997
0.850066333,0.971160507,0.989554852,0.949748411
0.853069378,0.969768666,0.989719062,0.950475417
0.856113805,0.968359291,0.989887002,0.951251297
0.859196607,0.96693377,0.990058508,0.952075287
0.862314743,0.965493512,0.990233411,0.952946573
0.865465135,0.964039937,0.990411537,0.953864295
0.868644674,0.962574481,0.990592712,0.954827547
0.871850223,0.961098588,0.990776755,0.955835379
